,top words,0,1,2,Text,Text_Processed,REFERENCE_ID,YEAR,TITLE,Text_Processed_str,category
185,human erythrocyt protein bind lead ,-5.1061196,9.506861,-5.006679,High-affinity renal lead-binding proteins in environmentally-exposed humans,"['high-affin', 'renal', 'lead-bind', 'protein', 'environmentally-expos', 'human']",74414,1998,High-affinity renal lead-binding proteins in environmentally-exposed humans,high-affin renal lead-bind protein environmentally-expos human,0
193,human erythrocyt protein bind lead ,-1.0536088,5.0110593,2.135373,Characterization of branchial lead-calcium interaction in the freshwater rainbow trout (Oncorhynchus mykiss),"['character', 'branchial', 'lead-calcium', 'interact', 'freshwat', 'rainbow', 'trout', 'oncorhynchu', 'mykiss']",76142,2004,Characterization of branchial lead-calcium interaction in the freshwater rainbow trout (Oncorhynchus mykiss),character branchial lead-calcium interact freshwat rainbow trout oncorhynchu mykiss,0
204,human erythrocyt protein bind lead ,-6.793788,8.949915,-6.415584,Lead and calcium transport in human erythrocyte,"['lead', 'calcium', 'transport', 'human', 'erythrocyt']",76913,1999,Lead and calcium transport in human erythrocyte,lead calcium transport human erythrocyt,0
207,human erythrocyt protein bind lead ,-3.2419002,6.458738,-0.02227354,Activation of potassium channels in erythrocytes of marine teleost Scorpaena porcus,"['activ', 'potassium', 'channel', 'erythrocyt', 'marin', 'teleost', 'scorpaena', 'porcu']",76949,2001,Activation of potassium channels in erythrocytes of marine teleost Scorpaena porcus,activ potassium channel erythrocyt marin teleost scorpaena porcu,0
210,human erythrocyt protein bind lead ,-4.765581,7.3104115,-2.100079,Inhibition of Ca2+-dependent K+ channels by lead in one-step inside-out vesicles from human red cell membranes,"['inhibit', 'ca2+-depend', 'K+', 'channel', 'lead', 'one-step', 'inside-out', 'vesicl', 'human', 'red', 'cell', 'membran']",77070,1986,Inhibition of Ca2+-dependent K+ channels by lead in one-step inside-out vesicles from human red cell membranes,inhibit ca2+-depend K+ channel lead one-step inside-out vesicl human red cell membran,0
211,human erythrocyt protein bind lead ,-5.314706,7.7611103,-4.0370693,Phosphorylation of membrane proteins in erythrocytes treated with lead,"['phosphoryl', 'membran', 'protein', 'erythrocyt', 'treat', 'lead']",77115,1996,Phosphorylation of membrane proteins in erythrocytes treated with lead,phosphoryl membran protein erythrocyt treat lead,0
213,human erythrocyt protein bind lead ,-5.4941645,3.686323,-1.6203635,Stimulation of erythrocyte phosphatidylserine exposure by lead ions,"['stimul', 'erythrocyt', 'phosphatidylserin', 'exposur', 'lead', 'ion']",77162,2005,Stimulation of erythrocyte phosphatidylserine exposure by lead ions,stimul erythrocyt phosphatidylserin exposur lead ion,0
214,human erythrocyt protein bind lead ,-9.265727,4.2559047,-4.75208,"Effect of lead on the erythrocyte (Ca2+,Mg2+)-ATPase activity: Calmodulin involvement","['effect', 'lead', 'erythrocyt', 'ca2+', 'mg2+', '-atpas', 'activ', 'calmodulin', 'involv']",77208,1989,"Effect of lead on the erythrocyte (Ca2+,Mg2+)-ATPase activity: Calmodulin involvement",effect lead erythrocyt ca2+ mg2+ -atpas activ calmodulin involv,0
216,human erythrocyt protein bind lead ,-5.723451,7.0688286,-4.782415,The affinity of human erythrocyte porphobilinogen synthase for Zn2+ and Pb2+,"['the', 'affin', 'human', 'erythrocyt', 'porphobilinogen', 'synthas', 'zn2+', 'pb2+']",77213,1995,The affinity of human erythrocyte porphobilinogen synthase for Zn2+ and Pb2+,the affin human erythrocyt porphobilinogen synthas zn2+ pb2+,0
228,human erythrocyt protein bind lead ,-0.8994516,4.588436,2.7241976,Selective blockade of P-type calcium channels by lead in cultured hippocampal neurons,"['select', 'blockad', 'p-type', 'calcium', 'channel', 'lead', 'cultur', 'hippocamp', 'neuron']",77650,1995,Selective blockade of P-type calcium channels by lead in cultured hippocampal neurons,select blockad p-type calcium channel lead cultur hippocamp neuron,0
235,human erythrocyt protein bind lead ,-3.7822986,6.1746006,0.8722088,Interference of lead with the calcium release activated calcium flux of osteoblast-like cells,"['interfer', 'lead', 'calcium', 'releas', 'activ', 'calcium', 'flux', 'osteoblast-lik', 'cell']",80198,1999,Interference of lead with the calcium release activated calcium flux of osteoblast-like cells,interfer lead calcium releas activ calcium flux osteoblast-lik cell,0
253,human erythrocyt protein bind lead ,-1.1276948,5.0928745,2.176252,Lead- and calcium-mediated inhibition of bovine rod cGMP phosphodiesterase: Interactions with magnesium,"['lead-', 'calcium-medi', 'inhibit', 'bovin', 'rod', 'cgmp', 'phosphodiesteras', 'interact', 'magnesium']",78075,1995,Lead- and calcium-mediated inhibition of bovine rod cGMP phosphodiesterase: Interactions with magnesium,lead- calcium-medi inhibit bovin rod cgmp phosphodiesteras interact magnesium,0
259,human erythrocyt protein bind lead ,-1.7782316,6.996903,-2.3445144,Negative relationships between erythrocyte Ca-pump activity and lead levels in mothers and newborns,"['neg', 'relationship', 'erythrocyt', 'ca-pump', 'activ', 'lead', 'level', 'mother', 'newborn']",78475,2000,Negative relationships between erythrocyte Ca-pump activity and lead levels in mothers and newborns,neg relationship erythrocyt ca-pump activ lead level mother newborn,0
291,human erythrocyt protein bind lead ,-2.494271,2.8402443,3.5105753,Lead increases free Ca2+ concentration in cultured osteoblastic bone cells: simultaneous detection of intracellular free Pb2+ by 19F NMR,"['lead', 'increas', 'free', 'ca2+', 'concentr', 'cultur', 'osteoblast', 'bone', 'cell', 'simultan', 'detect', 'intracellular', 'free', 'pb2+', '19f', 'nmr']",79650,1989,Lead increases free Ca2+ concentration in cultured osteoblastic bone cells: simultaneous detection of intracellular free Pb2+ by 19F NMR,lead increas free ca2+ concentr cultur osteoblast bone cell simultan detect intracellular free pb2+ 19f nmr,0
292,human erythrocyt protein bind lead ,-6.9308486,7.729214,1.3191321,Lead induced rise in intracellular free calcium is mediated through activation of protein kinase C in osteoblastic bone cells,"['lead', 'induc', 'rise', 'intracellular', 'free', 'calcium', 'mediat', 'activ', 'protein', 'kinas', 'C', 'osteoblast', 'bone', 'cell']",79680,1997,Lead induced rise in intracellular free calcium is mediated through activation of protein kinase C in osteoblastic bone cells,lead induc rise intracellular free calcium mediat activ protein kinas C osteoblast bone cell,0
300,human erythrocyt protein bind lead ,-0.28458977,4.3467216,3.6386628,Ca2+-independent vesicular catecholamine release in PC12 cells by nanomolar concentrations of Pb2+,"['ca2+-independ', 'vesicular', 'catecholamin', 'releas', 'pc12', 'cell', 'nanomolar', 'concentr', 'pb2+']",80292,2002,Ca2+-independent vesicular catecholamine release in PC12 cells by nanomolar concentrations of Pb2+,ca2+-independ vesicular catecholamin releas pc12 cell nanomolar concentr pb2+,0
302,human erythrocyt protein bind lead ,-3.7247612,6.158677,1.3709992,Multisite interactions between Pb2+ and protein kinase C and its role in norepinephrine release from bovine adrenal chromaffin cells,"['multisit', 'interact', 'pb2+', 'protein', 'kinas', 'C', 'role', 'norepinephrin', 'releas', 'bovin', 'adren', 'chromaffin', 'cell']",80316,1995,Multisite interactions between Pb2+ and protein kinase C and its role in norepinephrine release from bovine adrenal chromaffin cells,multisit interact pb2+ protein kinas C role norepinephrin releas bovin adren chromaffin cell,0
303,human erythrocyt protein bind lead ,-6.9960732,7.5780444,1.56044,"Lead activation of protein kinase C from rat brain: Determination of free calcium, lead, and zinc by 19F NMR","['lead', 'activ', 'protein', 'kinas', 'C', 'rat', 'brain', 'determin', 'free', 'calcium', 'lead', 'zinc', '19f', 'nmr']",80318,1994,"Lead activation of protein kinase C from rat brain: Determination of free calcium, lead, and zinc by 19F NMR",lead activ protein kinas C rat brain determin free calcium lead zinc 19f nmr,0
305,human erythrocyt protein bind lead ,-2.8965867,5.4297323,-1.2338479,Picomolar concentrations of lead stimulate brain protein kinase C,"['picomolar', 'concentr', 'lead', 'stimul', 'brain', 'protein', 'kinas', 'C']",80328,1988,Picomolar concentrations of lead stimulate brain protein kinase C,picomolar concentr lead stimul brain protein kinas C,0
315,human erythrocyt protein bind lead ,-6.17892,4.2398605,-1.3325245,Nicotinamide adenine dinucleotide synthetase activity in erythrocytes as a tool for the biological monitoring of lead exposure,"['nicotinamid', 'adenin', 'dinucleotid', 'synthetas', 'activ', 'erythrocyt', 'tool', 'biolog', 'monitor', 'lead', 'exposur']",80974,1997,Nicotinamide adenine dinucleotide synthetase activity in erythrocytes as a tool for the biological monitoring of lead exposure,nicotinamid adenin dinucleotid synthetas activ erythrocyt tool biolog monitor lead exposur,0
323,human erythrocyt protein bind lead ,-2.8745883,5.431639,-1.6013103,"Regulation of HLA-DR and invariant chain expression by human peripheral blood mononuclear cells with lead, interferon-gamma, or interleukin-4","['regul', 'hla-dr', 'invari', 'chain', 'express', 'human', 'peripher', 'blood', 'mononuclear', 'cell', 'lead', 'interferon-gamma', 'interleukin-4']",81039,1996,"Regulation of HLA-DR and invariant chain expression by human peripheral blood mononuclear cells with lead, interferon-gamma, or interleukin-4",regul hla-dr invari chain express human peripher blood mononuclear cell lead interferon-gamma interleukin-4,0
333,human erythrocyt protein bind lead ,-5.526225,3.7512522,-1.6035775,Impact of lead exposure on pituitary-thyroid axis in humans,"['impact', 'lead', 'exposur', 'pituitary-thyroid', 'axi', 'human']",81063,2000,Impact of lead exposure on pituitary-thyroid axis in humans,impact lead exposur pituitary-thyroid axi human,0
340,human erythrocyt protein bind lead ,-8.06711,7.147849,2.954989,Lead and protein content of isolated intranuclear inclusion bodies from kidneys of lead-poisoned rats,"['lead', 'protein', 'content', 'isol', 'intranuclear', 'inclus', 'bodi', 'kidney', 'lead-poison', 'rat']",81083,1970,Lead and protein content of isolated intranuclear inclusion bodies from kidneys of lead-poisoned rats,lead protein content isol intranuclear inclus bodi kidney lead-poison rat,0
342,human erythrocyt protein bind lead ,-6.890693,7.9294605,1.0637414,High-affinity lead binding proteins in rat kidney cytosol mediate cell-free nuclear translocation of lead,"['high-affin', 'lead', 'bind', 'protein', 'rat', 'kidney', 'cytosol', 'mediat', 'cell-fre', 'nuclear', 'transloc', 'lead']",81091,1985,High-affinity lead binding proteins in rat kidney cytosol mediate cell-free nuclear translocation of lead,high-affin lead bind protein rat kidney cytosol mediat cell-fre nuclear transloc lead,0
344,human erythrocyt protein bind lead ,-3.2725966,7.030869,-6.4810705,Influence of metal ions on renal cytosolic lead-binding proteins and nuclear uptake of lead in the kidney,"['influenc', 'metal', 'ion', 'renal', 'cytosol', 'lead-bind', 'protein', 'nuclear', 'uptak', 'lead', 'kidney']",81090,1986,Influence of metal ions on renal cytosolic lead-binding proteins and nuclear uptake of lead in the kidney,influenc metal ion renal cytosol lead-bind protein nuclear uptak lead kidney,0
375,human erythrocyt protein bind lead ,-0.9654721,4.4842443,2.7438798,Experimental lead nephropathy: Treatment with calcium disodium ethylenediaminetetraacetate,"['experiment', 'lead', 'nephropathi', 'treatment', 'calcium', 'disodium', 'ethylenediaminetetraacet']",81492,2002,Experimental lead nephropathy: Treatment with calcium disodium ethylenediaminetetraacetate,experiment lead nephropathi treatment calcium disodium ethylenediaminetetraacet,0
376,human erythrocyt protein bind lead ,-4.0503287,6.1274824,1.7433549,In vitro genotoxicity of lead acetate: Induction of single and double DNA strand breaks and DNA-protein cross-links,"['In', 'vitro', 'genotox', 'lead', 'acet', 'induct', 'singl', 'doubl', 'dna', 'strand', 'break', 'dna-protein', 'cross-link']",81495,2003,In vitro genotoxicity of lead acetate: Induction of single and double DNA strand breaks and DNA-protein cross-links,In vitro genotox lead acet induct singl doubl dna strand break dna-protein cross-link,0
388,human erythrocyt protein bind lead ,0.015079182,5.700306,2.1610515,An in vitro procedure for estimation of lead relative bioavailability: With validation,"['An', 'vitro', 'procedur', 'estim', 'lead', 'rel', 'bioavail', 'with', 'valid']",81697,2007,An in vitro procedure for estimation of lead relative bioavailability: With validation,An vitro procedur estim lead rel bioavail with valid,0
402,human erythrocyt protein bind lead ,-6.3696833,7.279837,1.3922505,Chromium is the proximate clastogenic species for lead chromate-induced clastogenicity in human bronchial cells,"['chromium', 'proxim', 'clastogen', 'speci', 'lead', 'chromate-induc', 'clastogen', 'human', 'bronchial', 'cell']",81965,2004,Chromium is the proximate clastogenic species for lead chromate-induced clastogenicity in human bronchial cells,chromium proxim clastogen speci lead chromate-induc clastogen human bronchial cell,0
416,human erythrocyt protein bind lead ,9.069261,1.1145127,9.2090645,Adjustment for urinary flow rate: an improved approach to biological monitoring,"['adjust', 'urinari', 'flow', 'rate', 'improv', 'approach', 'biolog', 'monitor']",82075,1990,Adjustment for urinary flow rate: an improved approach to biological monitoring,adjust urinari flow rate improv approach biolog monitor,0
422,human erythrocyt protein bind lead ,-3.136368,5.8533006,-7.5872846,Clastogenic effects in human samples following prolonged exposure in metal industry,"['clastogen', 'effect', 'human', 'sampl', 'follow', 'prolong', 'exposur', 'metal', 'industri']",82091,1995,Clastogenic effects in human samples following prolonged exposure in metal industry,clastogen effect human sampl follow prolong exposur metal industri,0
423,human erythrocyt protein bind lead ,-3.3709986,8.317786,-1.0306224,Incorporation routes of elements into human hair: Implications for hair analysis used for monitoring,"['incorpor', 'rout', 'element', 'human', 'hair', 'implic', 'hair', 'analysi', 'use', 'monitor']",82093,1985,Incorporation routes of elements into human hair: Implications for hair analysis used for monitoring,incorpor rout element human hair implic hair analysi use monitor,0
455,human erythrocyt protein bind lead ,-9.541748,4.0068927,-4.7090316,Effect of 3-aminotriazole on anchorage independence and mutagenicity in cadmium- and lead-treated diploid human fibroblasts,"['effect', '3-aminotriazol', 'anchorag', 'independ', 'mutagen', 'cadmium-', 'lead-treat', 'diploid', 'human', 'fibroblast']",82207,1998,Effect of 3-aminotriazole on anchorage independence and mutagenicity in cadmium- and lead-treated diploid human fibroblasts,effect 3-aminotriazol anchorag independ mutagen cadmium- lead-treat diploid human fibroblast,0
457,human erythrocyt protein bind lead ,-3.9571204,7.16368,-7.7598085,Affinity of heavy metal ions to intracellular Ca2+-binding proteins,"['affin', 'heavi', 'metal', 'ion', 'intracellular', 'ca2+-bind', 'protein']",82239,1986,Affinity of heavy metal ions to intracellular Ca2+-binding proteins,affin heavi metal ion intracellular ca2+-bind protein,0
469,human erythrocyt protein bind lead ,-5.3008547,7.80945,-3.002758,Inorganic lead activates the mitogen-activated protein kinase kinase-mitogen-activated protein kinase-p90RSK signaling pathway in human astrocytoma cells via a protein kinase C-dependent mechanism,"['inorgan', 'lead', 'activ', 'mitogen-activ', 'protein', 'kinas', 'kinase-mitogen-activ', 'protein', 'kinase-p90rsk', 'signal', 'pathway', 'human', 'astrocytoma', 'cell', 'via', 'protein', 'kinas', 'c-depend', 'mechan']",82351,2002,Inorganic lead activates the mitogen-activated protein kinase kinase-mitogen-activated protein kinase-p90RSK signaling pathway in human astrocytoma cells via a protein kinase C-dependent mechanism,inorgan lead activ mitogen-activ protein kinas kinase-mitogen-activ protein kinase-p90rsk signal pathway human astrocytoma cell via protein kinas c-depend mechan,0
470,human erythrocyt protein bind lead ,-4.3949637,8.691559,-1.159794,Internalization of carcinogenic lead chromate particles by cultured normal human lung epithelial cells: Formation of intracellular lead-inclusion bodies and induction of apoptosis,"['intern', 'carcinogen', 'lead', 'chromat', 'particl', 'cultur', 'normal', 'human', 'lung', 'epitheli', 'cell', 'format', 'intracellular', 'lead-inclus', 'bodi', 'induct', 'apoptosi']",82352,1999,Internalization of carcinogenic lead chromate particles by cultured normal human lung epithelial cells: Formation of intracellular lead-inclusion bodies and induction of apoptosis,intern carcinogen lead chromat particl cultur normal human lung epitheli cell format intracellular lead-inclus bodi induct apoptosi,0
471,human erythrocyt protein bind lead ,-2.0209033,5.6506305,2.2377067,Interlaboratory validation of a new assay for DNA-protein crosslinks,"['interlaboratori', 'valid', 'new', 'assay', 'dna-protein', 'crosslink']",82360,1996,Interlaboratory validation of a new assay for DNA-protein crosslinks,interlaboratori valid new assay dna-protein crosslink,0
504,human erythrocyt protein bind lead ,9.2296915,0.08256734,9.379316,Several tests for model specification in the presence of alternative hypotheses,"['sever', 'test', 'model', 'specif', 'presenc', 'altern', 'hypothes']",85588,1981,Several tests for model specification in the presence of alternative hypotheses,sever test model specif presenc altern hypothes,0
506,human erythrocyt protein bind lead ,9.137665,0.008701249,8.976862,Modern epidemiology ,"['modern', 'epidemiolog']",86599,1998,Modern epidemiology ,modern epidemiolog,0
523,human erythrocyt protein bind lead ,-6.894707,9.062968,-6.5431933,Characterization of human erythrocyte lead-binding protein,"['character', 'human', 'erythrocyt', 'lead-bind', 'protein']",83893,1985,Characterization of human erythrocyte lead-binding protein,character human erythrocyt lead-bind protein,0
529,human erythrocyt protein bind lead ,-0.16399387,4.2899146,3.0836985,Enhanced proinflammatory response to endotoxin after priming of macrophages with lead ions,"['enhanc', 'proinflammatori', 'respons', 'endotoxin', 'prime', 'macrophag', 'lead', 'ion']",83971,2002,Enhanced proinflammatory response to endotoxin after priming of macrophages with lead ions,enhanc proinflammatori respons endotoxin prime macrophag lead ion,0
543,human erythrocyt protein bind lead ,-4.433465,6.3541985,1.3838959,"Lead activates nuclear transcription factor -kB, activator protein-1, and amino-terminal c-Jun kinase in pheochromocytoma cells","['lead', 'activ', 'nuclear', 'transcript', 'factor', '-kb', 'activ', 'protein-1', 'amino-termin', 'c-jun', 'kinas', 'pheochromocytoma', 'cell']",84186,1999,"Lead activates nuclear transcription factor -kB, activator protein-1, and amino-terminal c-Jun kinase in pheochromocytoma cells",lead activ nuclear transcript factor -kb activ protein-1 amino-termin c-jun kinas pheochromocytoma cell,0
544,human erythrocyt protein bind lead ,-1.2634742,4.8580437,2.0987,"Lead-calcium interactions: Involvement of 1,25-dihydroxyvitamin D","['lead-calcium', 'interact', 'involv', '1,25-dihydroxyvitamin', 'D']",84228,1997,"Lead-calcium interactions: Involvement of 1,25-dihydroxyvitamin D","lead-calcium interact involv 1,25-dihydroxyvitamin D",0
562,human erythrocyt protein bind lead ,-4.302899,6.975361,-1.5334091,Modulation of the Ca2+- or Pb2+-activated K+-selective channels in human red cells. II. Parallelisms to modulation of the activity of a membrane-bound oxidoreductase,"['modul', 'ca2+-', 'pb2+-activ', 'k+-select', 'channel', 'human', 'red', 'cell', 'II', 'parallel', 'modul', 'activ', 'membrane-bound', 'oxidoreductas']",84585,1989,Modulation of the Ca2+- or Pb2+-activated K+-selective channels in human red cells. II. Parallelisms to modulation of the activity of a membrane-bound oxidoreductase,modul ca2+- pb2+-activ k+-select channel human red cell II parallel modul activ membrane-bound oxidoreductas,0
574,human erythrocyt protein bind lead ,-6.2611785,8.328202,-5.1178193,Passive transport and binding of lead by human red blood cells,"['passiv', 'transport', 'bind', 'lead', 'human', 'red', 'blood', 'cell']",84787,1986,Passive transport and binding of lead by human red blood cells,passiv transport bind lead human red blood cell,0
575,human erythrocyt protein bind lead ,-4.4792123,7.1094155,-2.186769,Fate of 212Pb inhaled by human subjects,"['fate', '212pb', 'inhal', 'human', 'subject']",84803,1969,Fate of 212Pb inhaled by human subjects,fate 212pb inhal human subject,0
582,human erythrocyt protein bind lead ,-8.536194,5.048872,-5.0360165,Effect of lead on the activity of erythrocyte porphobilinogen deaminase in vivo and in vitro,"['effect', 'lead', 'activ', 'erythrocyt', 'porphobilinogen', 'deaminas', 'vivo', 'vitro']",85137,1990,Effect of lead on the activity of erythrocyte porphobilinogen deaminase in vivo and in vitro,effect lead activ erythrocyt porphobilinogen deaminas vivo vitro,0
584,human erythrocyt protein bind lead ,-6.9695053,8.111823,-6.663339,Effect of lead on the calcium transport in human erythrocyte,"['effect', 'lead', 'calcium', 'transport', 'human', 'erythrocyt']",85139,1999,Effect of lead on the calcium transport in human erythrocyte,effect lead calcium transport human erythrocyt,0
589,human erythrocyt protein bind lead ,-7.0004086,7.1628027,0.11620586,"Preliminary purification and characterization studies of a low molecular weight, high affinity cytosolic lead-binding protein in rat brain","['preliminari', 'purif', 'character', 'studi', 'low', 'molecular', 'weight', 'high', 'affin', 'cytosol', 'lead-bind', 'protein', 'rat', 'brain']",85441,1989,"Preliminary purification and characterization studies of a low molecular weight, high affinity cytosolic lead-binding protein in rat brain",preliminari purif character studi low molecular weight high affin cytosol lead-bind protein rat brain,0
592,human erythrocyt protein bind lead ,-4.946889,7.747294,-2.9163232,Dose-dependent modulation of the in vitro cytokine production of human immune competent cells by lead salts,"['dose-depend', 'modul', 'vitro', 'cytokin', 'product', 'human', 'immun', 'compet', 'cell', 'lead', 'salt']",85598,2005,Dose-dependent modulation of the in vitro cytokine production of human immune competent cells by lead salts,dose-depend modul vitro cytokin product human immun compet cell lead salt,0
594,human erythrocyt protein bind lead ,-7.094302,8.357756,0.85372007,Human lung cell growth is not stimulated by lead ions after lead chromate-induced genotoxicity,"['human', 'lung', 'cell', 'growth', 'stimul', 'lead', 'ion', 'lead', 'chromate-induc', 'genotox']",85705,2005,Human lung cell growth is not stimulated by lead ions after lead chromate-induced genotoxicity,human lung cell growth stimul lead ion lead chromate-induc genotox,0
597,human erythrocyt protein bind lead ,-5.733936,6.472158,2.1840477,"Action of lead(II) and aluminium(III) ions on iron-stimulated lipid peroxidation in liposomes, erythrocytes and rat liver microsomal fractions","['action', 'lead', 'II', 'aluminium', 'iii', 'ion', 'iron-stimul', 'lipid', 'peroxid', 'liposom', 'erythrocyt', 'rat', 'liver', 'microsom', 'fraction']",86182,1988,"Action of lead(II) and aluminium(III) ions on iron-stimulated lipid peroxidation in liposomes, erythrocytes and rat liver microsomal fractions",action lead II aluminium iii ion iron-stimul lipid peroxid liposom erythrocyt rat liver microsom fraction,0
639,human erythrocyt protein bind lead ,9.39394,1.7546339,8.359122,Ecosystems and their goods and services,"['ecosystem', 'good', 'servic']",92761,2001,Ecosystems and their goods and services,ecosystem good servic,0
643,human erythrocyt protein bind lead ,-6.4257746,4.7998443,0.52515,Chronic exposure to particulate chromate induces spindle assembly checkpoint bypass in human lung cells,"['chronic', 'exposur', 'particul', 'chromat', 'induc', 'spindl', 'assembl', 'checkpoint', 'bypass', 'human', 'lung', 'cell']",155181,2006,Chronic exposure to particulate chromate induces spindle assembly checkpoint bypass in human lung cells,chronic exposur particul chromat induc spindl assembl checkpoint bypass human lung cell,0
644,human erythrocyt protein bind lead ,8.84493,2.2660367,9.053435,Practical causal inference for ecoepidemiologists,"['practic', 'causal', 'infer', 'ecoepidemiologist']",156444,1991,Practical causal inference for ecoepidemiologists,practic causal infer ecoepidemiologist,0
